text,author,tags
"
      “The trouble with having an open mind, of course, is that people will insist on coming along and trying to put things in it.”
  ","
    Terry Pratchett,
  ","humor,open-mind,thinking"
"
      “It is what you read when you don't have to that determines what you will be when you can't help it.”
  ","
    Oscar Wilde
  ","books,reading"
"
      “Time you enjoy wasting is not wasted time.”
  ","
    Marthe Troly-Curtin,
  ","happiness,misattributed-john-lennon,procrastination,time"
"
      “If I had a flower for every time I thought of you...I could walk through my garden forever.”
  ","
    Alfred Tennyson
  ","friendship,love"
"
      “Reality continues to ruin my life.”
  ","
    Bill Watterson,
  ","calvin-and-hobbes,humor,life"
"
      “Not all those who wander are lost.”
  ","
    J.R.R. Tolkien,
  ","bilbo,journey,lost,quest,travel,wander"
"
      “The real lover is the man who can thrill you by kissing your forehead or smiling into your eyes or just staring into space.”
  ","
    Marilyn Monroe
  ","attributed-no-source,love"
"
      “Who are you to judge the life I live?","
    Bob Marley
  ","judge,life,live,perfection"
"
      “There is no pretending,"" Jace said with absolute clarity. ""I love you, and I will love you until I die, and if there is life after that, I'll love you then.”
  ","
    Cassandra Clare,
  ","mortal-instruments,romance,teen-fantasy"
"
      “Things change. And friends leave. Life doesn't stop for anybody.”
  ","
    Stephen Chbosky,
  ","change,life"
"
      “One must always be careful of books,"" said Tessa, ""and what is inside them, for words have the power to change us.”
  ","
    Cassandra Clare,
  ",books
"
      “Piglet sidled up to Pooh from behind. ","
    A.A. Milne,
  ","friendship,piglet,pooh,reassurance"
"
      “He's like a drug for you, Bella.”
  ","
    Stephenie Meyer,
  ","drug,romance,simile"
"
      “A wise girl kisses but doesn't love, listens but doesn't believe, and leaves before she is left.”
  ","
    Marilyn Monroe
  ",attributed-no-source
"
      “The only way out of the labyrinth of suffering is to forgive.”
  ","
    John Green,
  ","compassion,life,suffering"
"
      “Do not pity the dead, Harry. Pity the living, and, above all those who live without love.”
  ","
    J.K. Rowling,
  ",live-death-love
"
      “To love at all is to be vulnerable. Love anything and your heart will be wrung and possibly broken. If you want to make sure of keeping it intact you must give it to no one, not even an animal. Wrap it carefully round with hobbies and little luxuries; avoid all entanglements. Lock it up safe in the casket or coffin of your selfishness. But in that casket, safe, dark, motionless, airless, it will change. It will not be broken; it will become unbreakable, impenetrable, irredeemable. To love is to be vulnerable.”
  ","
    C.S. Lewis,
  ",love
"
      “If there's a book that you want to read, but it hasn't been written yet, then you must write it.”
  ","
    Toni Morrison
  ","books,writing"
"
      “Dumbledore watched her fly away, and as her silvery glow faded he turned back to Snape, and his eyes were full of tears.","
    J.K. Rowling,
  ","dumbledore,life,love,snape"
"
      “The reason I talk to myself is because I’m the only one whose answers I accept.”
  ","
    George Carlin
  ","humor,insanity,lies,lying,self-indulgence,truth"
"
      “Go to heaven for the climate and hell for the company.”
  ","
    Benjamin Franklin Wade 
  ","humor,misattributed-mark-twain,philosophy,theology"
"
      “When someone loves you, the way they talk about you is different. You feel safe and comfortable.”
  ","
    Jess C. Scott,
  ","desire,emotion,friendship,honesty,imagination,individuality,life,love,passion,reality,relationships,romance,truth,wisdom,wise-words"
"
      “I am good, but not an angel. I do sin, but I am not the devil. I am just a small girl in a big world trying to find someone to love.”
  ","
    Marilyn Monroe
  ",attributed-no-source
"
      “There is nothing to writing. All you do is sit down at a typewriter and bleed.”
  ","
    Ernest Hemingway
  ","good,writing"
"
      “You should date a girl who reads.","
    Rosemarie Urquico
  ",
"
      “He has achieved success who has lived well, laughed often, and loved much;","
    Bessie Anderson Stanley,
  ","life,misattributed-to-emerson,success,widely-misattributed"
"
      “You may say I'm a dreamer, but I'm not the only one. I hope someday you'll join us. And the world will live as one.”
  ","
    John Lennon
  ","beatles,connection,dreamers,dreaming,dreams,hope,inspirational,peace"
"
      “I love mankind ... it's people I can't stand!!”
  ","
    Charles M. Schulz
  ","humor,mankind,people"
"
      “I've been making a list of the things they don't teach you at school. They don't teach you how to love somebody. They don't teach you how to be famous. They don't teach you how to be rich or how to be poor. They don't teach you how to walk away from someone you don't love any longer. They don't teach you how to know what's going on in someone else's mind. They don't teach you what to say to someone who's dying. They don't teach you anything worth knowing.”
  ","
    Neil Gaiman,
  ","dying,facts,fame,knowing,love,poverty,reality,school,teach,wealth"
"
      “You don’t forget the face of the person who was your last hope.”
  ","
    Suzanne Collins,
  ",the-hunger-games
"
      “And, when you want something, all the universe conspires in helping you to achieve it.”
  ","
    Paulo Coelho,
  ",inspirational
"
      “I am free of all prejudice. I hate everyone equally. ”
  ","
    W.C. Fields
  ","humor,sinister"
"
      “′Classic′ - a book which people praise and don't read.”
  ","
    Mark Twain
  ","books,classic,reading"
"
      “I wish it need not have happened in my time,"" said Frodo.","
    J.R.R. Tolkien,
  ","adventuring,death,time"
"
      “I declare after all there is no enjoyment like reading! How much sooner one tires of any thing than of a book! -- When I have a house of my own, I shall be miserable if I have not an excellent library.”
  ","
    Jane Austen,
  ","books,library,reading"
"
      “Finish each day and be done with it. You have done what you could. Some blunders and absurdities no doubt crept in; forget them as soon as you can. Tomorrow is a new day. You shall begin it serenely and with too high a spirit to be encumbered with your old nonsense.”
  ","
    Ralph Waldo Emerson
  ","life,regrets"
"
      “The marks humans leave are too often scars.”
  ","
    John Green,
  ","humans,pain,scars"
"
      “I have never let my schooling interfere with my education.”
  ","
    Mark Twain
  ","attributed-no-source,education"
"
      “Remember, we're madly in love, so it's all right to kiss me anytime you feel like it.”
  ","
    Suzanne Collins,
  ",humor
"
      “What a slut time is. She screws everybody.”
  ","
    John Green,
  ",
"
      “You never really understand a person until you consider things from his point of view... Until you climb inside of his skin and walk around in it.”
  ","
    Harper Lee,
  ",better-life-empathy
"
      “To die will be an awfully big adventure.”
  ","
    J.M. Barrie,
  ","adventure,love"
"
      “Anyone who has never made a mistake has never tried anything new.”
  ","
    Albert Einstein
  ","attributed-no-source,mistakes"
"
      “It takes courage to grow up and become who you really are.”
  ","
    E.E. Cummings
  ","attributed-no-source,courage"
"
      “Books are the ultimate Dumpees: put them down and they’ll wait for you forever; pay attention to them and they always love you back.”
  ","
    John Green,
  ","books,reading"
"
      “A lady's imagination is very rapid; it jumps from admiration to love, from love to matrimony in a moment.”
  ","
    Jane Austen,
  ","humor,love,romantic,women"
"
      “The books that the world calls immoral are books that show the world its own shame.”
  ","
    Oscar Wilde,
  ","books,morality,reading"
"
      “Our deepest fear is not that we are inadequate. Our deepest fear is that we are powerful beyond measure. It is our light, not our darkness that most frightens us. We ask ourselves, 'Who am I to be brilliant, gorgeous, talented, fabulous?' Actually, who are you not to be? You are a child of God. Your playing small does not serve the world. There is nothing enlightened about shrinking so that other people won't feel insecure around you. We are all meant to shine, as children do. We were born to make manifest the glory of God that is within us. It's not just in some of us; it's in everyone. And as we let our own light shine, we unconsciously give other people permission to do the same. As we are liberated from our own fear, our presence automatically liberates others.”
  ","
    Marianne Williamson,
  ","akeelah,fear,inspirational"
"
      “You have to write the book that wants to be written. And if the book will be too difficult for grown-ups, then you write it for children.”
  ","
    Madeleine L'Engle
  ","books,children,difficult,grown-ups,write,writers,writing"
"
      “There is nothing better than a friend, unless it is a friend with chocolate.”
  ","
    Linda Grayson
  ","chocolate,friendship"
"
      “We believe in ordinary acts of bravery, in the courage that drives one person to stand up for another.”
  ","
    Veronica Roth,
  ","inspirational-quotes,strength-and-courage"
"
      “[Dean] “My dear fellow, who will let you?”","
    Ayn Rand,
  ",
"
      “Some day you will be old enough to start reading fairy tales again.”
  ","
    C.S. Lewis
  ","age,fairytales,growing-up"
"
      “I'm the one that's got to die when it's time for me to die, so let me live my life the way I want to.”
  ","
    Jimi Hendrix,
  ","death,life"
"
      “But better to get hurt by the truth than comforted with a lie.”
  ","
    Khaled Hosseini
  ",life
"
      “We are what we pretend to be, so we must be careful about what we pretend to be.”
  ","
    Kurt Vonnegut,
  ","action,attitude,choice,imagination,inspiration,life,pretend"
"
      “And in that moment, I swear we were infinite.”
  ","
    Stephen Chbosky,
  ",infinity
"
      “It’s no use going back to yesterday, because I was a different person then.”
  ","
    Lewis Carroll
  ","alice,humor,inspirational,philosophy-of-life,psychological,yesterday"
"
      “So it's not gonna be easy. It's going to be really hard; we're gonna have to work at this everyday, but I want to do that because I want you. I want all of you, forever, everyday. You and me... everyday.”
  ","
    Nicholas Sparks,
  ","love,marriage"
"
      “There are infinite numbers between 0 and 1. There's .1 and .12 and .112 and an infinite collection of others. Of course, there is a bigger infinite set of numbers between 0 and 2, or between 0 and a million. Some infinities are bigger than other infinities. A writer we used to like taught us that. There are days, many of them, when I resent the size of my unbounded set. I want more numbers than I'm likely to get, and God, I want more numbers for Augustus Waters than he got. But, Gus, my love, I cannot tell you how thankful I am for our little infinity. I wouldn't trade it for the world. You gave me a forever within the numbered days, and I'm grateful.”
  ","
    John Green,
  ",infinity
"
      “The truth."" Dumbledore sighed. ""It is a beautiful and terrible thing, and should therefore be treated with great caution.”
  ","
    J.K. Rowling,
  ",truth
"
      “Books are a uniquely portable magic.”
  ","
    Stephen King,
  ","books,magic,reading"
"
      “... a mind needs books as a sword needs a whetstone, if it is to keep its edge.”
  ","
    George R.R. Martin,
  ","books,mind"
"
      “Remember, if the time should come when you have to make a choice between what is right and what is easy, remember what happened to a boy who was good, and kind, and brave, because he strayed across the path of Lord Voldemort. Remember Cedric Diggory.”
  ","
    J.K. Rowling,
  ",integrity
"
      “The truth is rarely pure and never simple.”
  ","
    Oscar Wilde,
  ",truth
"
      “I believe in Christianity as I believe that the sun has risen: not only because I see it, but because by it I see everything else.”
  ","
    C.S. Lewis
  ","christianity,faith,religion,sun"
"
      “The fear of death follows from the fear of life. A man who lives fully is prepared to die at any time.”
  ","
    Mark Twain
  ","death,life"
"
      “I can never read all the books I want; I can never be all the people I want and live all the lives I want. I can never train myself in all the skills I want. And why do I want? I want to live and feel all the shades, tones and variations of mental and physical experience possible in my life. And I am horribly limited.”
  ","
    Sylvia Plath,
  ","books,life,limits"
"
      “Be nice to nerds. You may end up working for them. We all could.”
  ","
    Charles J. Sykes,
  ","humor,misattributed-to-bill-gates,nerd,nerds,work"
"
      “A lie can travel half way around the world while the truth is putting on its shoes.”
  ","
    Mark Twain
  ","misattributed-mark-twain,truth"
"
      “Never tell the truth to people who are not worthy of it.”
  ","
    Mark Twain
  ",truth
"
      “Just when you think it can't get any worse, it can. And just when you think it can't get any better, it can.”
  ","
    Nicholas Sparks,
  ","life,love"
"
      “Memories warm you up from the inside. But they also tear you apart.”
  ","
    Haruki Murakami,
  ",memories
"
      “Tis better to have loved and lost","
    Alfred Lord Tennyson,
  ","love,paraphrase-of-congreve"
"
      “It's so hard to forget pain, but it's even harder to remember sweetness. We have no scar to show for happiness. We learn so little from peace.”
  ","
    Chuck Palahniuk,
  ","happiness,pain,peace,scar,sweetness"
"
      “Do you remember me telling you we are practicing non-verbal spells, Potter?""","
    J.K. Rowling,
  ","humor,rebellion,sarcasm"
"
      “Be not afraid of greatness. Some are born great, some achieve greatness, and others have greatness thrust upon them.”
  ","
    William Shakespeare,
  ",greatness
"
      “Knowing yourself is the beginning of all wisdom.”
  ","
    Aristotle
  ","introspection,self-discovery,wisdom"
"
      “I love you as certain dark things are to be loved, ","
    Pablo Neruda,
  ","love,poetry"
"
      “What you're supposed to do when you don't like a thing is change it. If you can't change it, change the way you think about it. Don't complain.”
  ","
    Maya Angelou,
  ","1993,advice,complaining,inspirational"
"
      “It's the possibility of having a dream come true that makes life interesting.”
  ","
    Paulo Coelho,
  ",inspirational
"
      “A day without laughter is a day wasted.”
  ","
    Nicolas Chamfort
  ",philosophy
"
      “A person's a person, no matter how small.”
  ","
    Dr. Seuss,
  ",inspirational
"
      “Happiness in intelligent people is the rarest thing I know.”
  ","
    Ernest Hemingway,
  ",happiness
"
      “Only the very weak-minded refuse to be influenced by literature and poetry.”
  ","
    Cassandra Clare,
  ","books,literature,philosphy,poetry,reading"
"
      “He’s not perfect. You aren’t either, and the two of you will never be perfect. But if he can make you laugh at least once, causes you to think twice, and if he admits to being human and making mistakes, hold onto him and give him the most you can. He isn’t going to quote poetry, he’s not thinking about you every moment, but he will give you a part of him that he knows you could break. Don’t hurt him, don’t change him, and don’t expect for more than he can give. Don’t analyze. Smile when he makes you happy, yell when he makes you mad, and miss him when he’s not there. Love hard when there is love to be had. Because perfect guys don’t exist, but there’s always one guy that is perfect for you.”
  ","
    Bob Marley
  ","inspirational,love"
"
      “When adults say, ""Teenagers think they are invincible"" with that sly, stupid smile on their faces, they don't know how right they are. We need never be hopeless, because we can never be irreparably broken. We think that we are invincible because we are. We cannot be born, and we cannot die. Like all energy, we can only change shapes and sizes and manifestations. They forget that when they get old. They get scared of losing and failing. But that part of us greater than the sum of our parts cannot begin and cannot end, and so it cannot fail.”
  ","
    John Green,
  ","invincible,teenagers,teens"
"
      “Thomas Edison's last words were ""","
    John Green,
  ",
"
      “Jesus!"" Luke exclaimed.","
    Cassandra Clare
  ","humor,jace-wayland,simon-lewis"
"
      “I finally understood what true love meant...love meant that you care for another person's happiness more than your own, no matter how painful the choices you face might be.”
  ","
    Nicholas Sparks,
  ","dear-john,nicholas-sparks"
"
      “Oh, I wouldn't mind, Hazel Grace. It would be a privilege to have my heart broken by you.”
  ","
    John Green,
  ","augustus-waters,hazel,heartbreak,privilege"
"
      “Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.”
  ","
    Oscar Wilde,
  ","dreaming,dreams,imagination"
"
      “Just because you have the emotional range of a teaspoon doesn't mean we all have.”
  ","
    J.K. Rowling,
  ",hermione
"
      “The only true wisdom is in knowing you know nothing.”
  ","
    Socrates
  ","knowledge,wisdom"
"
      “Numbing the pain for a while will make it worse when you finally feel it.”
  ","
    J.K. Rowling,
  ",pain
"
      “I became insane, with long intervals of horrible sanity.”
  ","
    Edgar Allan Poe
  ","insanity,sanity"
"
      “When we honestly ask ourselves which person in our lives mean the most to us, we often find that it is those who, instead of giving advice, solutions, or cures, have chosen rather to share our pain and touch our wounds with a warm and tender hand. The friend who can be silent with us in a moment of despair or confusion, who can stay with us in an hour of grief and bereavement, who can tolerate not knowing, not curing, not healing and face with us the reality of our powerlessness, that is a friend who cares.”
  ","
    Henri Nouwen,
  ","empathy,friends,friendship,inspirational"
"
      “Be careful about reading health books. Some fine day you'll die of a misprint.”
  ","
    Markus Herz
  ","books,health,humor,misattributed-mark-twain,misprints"
"
      “It is one of the blessings of old friends that you can afford to be stupid with them.”
  ","
    Ralph Waldo Emerson,
  ",friends
"
      “The one you love and the one who loves you are never, ever the same person.”
  ","
    Chuck Palahniuk,
  ","life,love"
"
      “Have you ever noticed how ‘What the hell’ is always the right decision to make?”
  ","
    Terry Johnson,
  ","humor,misattributed-to-marilyn-monroe,philosophy"
"
      “You can never be overdressed or overeducated.”
  ","
    Oscar Wilde
  ","education,fashion"
"
      “Perhaps one did not want to be loved so much as to be understood.”
  ","
    George Orwell,
  ",truth
"
      “Some people don't understand the promises they're making when they make them,"" I said.","
    John Green,
  ","faith,faithfulness,love,promises"
"
      “An eye for an eye will only make the whole world blind.”
  ","
    Mahatma Gandhi
  ","attributed-no-source,conflict,fighting,peace,revenge,trial,violence"
"
      “You can't live your life for other people. You've got to do what's right for you, even if it hurts some people you love.”
  ","
    Nicholas Sparks,
  ","inspirational,the-notebook"
"
      “Those who don't believe in magic will never find it.”
  ","
    Roald Dahl
  ",
"
      “Books are the quietest and most constant of friends; they are the most accessible and wisest of counselors, and the most patient of teachers.”
  ","
    Charles W. Eliot
  ","books,friends,reading,teachers"
"
      “If you're gonna be two-faced at least make one of them pretty.”
  ","
    Marilyn Monroe
  ",attributed-no-source
"
      “So I walked back to my room and collapsed on the bottom bunk, thinking that if people were rain, I was drizzle and she was a hurricane.”
  ","
    John Green,
  ","johngreen,lookingforalaska"
"
      “I would rather walk with a friend in the dark, than alone in the light.”
  ","
    Helen Keller
  ",friendship
"
      “Is this the part where you start tearing off strips of your shirt to bind my wounds?""","
    Cassandra Clare,
  ","clary,clothes,jace,wounds"
"
      “I speak to everyone in the same way, whether he is the garbage man or the president of the university.”
  ","
    Albert Einstein
  ","life,respect"
"
      “Until I feared I would lose it, I never loved to read. One does not love breathing.”
  ","
    Harper Lee,
  ",reading
"
      “A great book should leave you with many experiences, and slightly exhausted at the end. You live several lives while reading.”
  ","
    William Styron,
  ","books,reading"
"
      “The truth will set you free, but first it will piss you off.”
  ","
    Joe Klaas,
  ","anger,freedom,misattributed-gloria-steinem,truth"
"
      “Creativity is knowing how to hide your sources”
  ","
    C.E.M. Joad
  ","creativity,humor,misattributed-to-einstein,paraphrased"
"
      “Music expresses that which cannot be put into words and that which cannot remain silent”
  ","
    Victor hugo
  ","literature,music,poetry"
"
      “Fate is like a strange, unpopular restaurant filled with odd little waiters who bring you things you never asked for and don't always like.”
  ","
    Lemony Snicket
  ","fate,humor,simile"
"
      “Do you hate people?”","
    Charles Bukowski,
  ","humour,misanthropy,paraphrased"
"
      “A children's story that can only be enjoyed by children is not a good children's story in the slightest.”
  ","
    C.S. Lewis
  ","books,children-s-books,reading"
"
      “Life is an awful, ugly place to not have a best friend.”
  ","
    Sarah Dessen,
  ",friendship
"
      “The Seven Social Sins are:","
    Frederick Lewis Donaldson
  ","character,commerce,conscience,happiness,humanity,knowledge,misattributed-to-gandhi,money,morality,pleasure,politics,principle,sacrifice,science,sin,sins,wealth,work,worship"
"
      “If you don't have time to read, you don't have the time (or the tools) to write. Simple as that.”
  ","
    Stephen King
  ","reading,writing"
"
      “The statistics on sanity are that one out of every four people is suffering from a mental illness. Look at your 3 best friends. If they're ok, then it's you.”
  ","
    Rita Mae Brown
  ","humor,insanity"
"
      “How wonderful it is that nobody need wait a single moment before starting to improve the world.”
  ","
    Anne Frank,
  ","activism,life,optimism,philosophy,world"
"
      “The saddest aspect of life right now is that science gathers knowledge faster than society gathers wisdom.”
  ","
    Isaac Asimov
  ","life,science,wisdom"
"
      “I wish I could freeze this moment, right here, right now and live in it forever.”
  ","
    Suzanne Collins,
  ",peeta
"
      “Happiness is when what you think, what you say, and what you do are in harmony.”
  ","
    Mahatma Gandhi
  ","attributed-no-source,happiness"
"
      “Keep away from people who try to belittle your ambitions. Small people always do that, but the really great make you feel that you, too, can become great.”
  ","
    Mark Twain
  ",greatness
"
      “I don't want to be a man,"" said Jace. ""I want to be an angst-ridden teenager who can't confront his own inner demons and takes it out verbally on other people instead.""","
    Cassandra Clare,
  ","clary-fray,demons,growing-up,humor,jace-wayland,luke,teenager"
"
      “Never forget what you are, for surely the world will not. Make it your strength. Then it can never be your weakness. Armour yourself in it, and it will never be used to hurt you.”
  ","
    George R.R. Martin,
  ",identity
"
      “We're all human, aren't we? Every human life is worth the same, and worth saving.”
  ","
    J.K. Rowling,
  ","human,life,value,worth"
"
      “Well-behaved women seldom make history.”
  ","
    Laurel Thatcher Ulrich,
  ","inspirational,misattributed-eleanor-roosevelt,women"
"
      “Being a woman is a terribly difficult trade since it consists principally of dealings with men.”
  ","
    Joseph Conrad,
  ",women
"
      “I am no bird; and no net ensnares me: I am a free human being with an independent will.”
  ","
    Charlotte Brontë,
  ","character,empowerment,flaws,freedom,gender,identity,image,independence,integrity,realism,self-awareness,self-determination,women"
"
      “You will never be happy if you continue to search for what happiness consists of. You will never live if you are looking for the meaning of life.”
  ","
    Albert Camus
  ","attributed-no-source,happiness,meaning-of-life"
"
      “I no longer believed in the idea of soul mates, or love at first sight. But I was beginning to believe that a very few times in your life, if you were lucky, you might meet someone who was exactly right for you. Not because he was perfect, or because you were, but because your combined flaws were arranged in a way that allowed two separate beings to hinge together.”
  ","
    Lisa Kleypas,
  ","love,relationships,romance"
"
      “Give a man a fire and he's warm for a day, but set fire to him and he's warm for the rest of his life.”
  ","
    Terry Pratchett,
  ","humor,proverb"
"
      “When we love, we always strive to become better than we are. When we strive to become better than we are, everything around us becomes better too.”
  ","
    Paulo Coelho,
  ","hope,inspiration,love,santiago"
"
      “The world is not a wish-granting factory.”
  ","
    John Green,
  ",
"
      “It's the friends you can call up at 4 a.m. that matter.”
  ","
    Marlene Dietrich
  ",attributed-no-source
"
      “Sometimes you have to be apart from people you love, but that doesn't make you love them any less. Sometimes you love them more.”
  ","
    Nicholas Sparks,
  ",
"
      “It's far better to be unhappy alone than unhappy with someone — so far.”
  ","
    Marilyn Monroe
  ","alone,attributed-no-source"
"
      “Becoming fearless isn't the point. That's impossible. It's learning how to control your fear, and how to be free from it.”
  ","
    Veronica Roth,
  ","dauntless,divergent,fearless,four,tris"
"
      “One is loved because one is loved. No reason is needed for loving.”
  ","
    Paulo Coelho,
  ",love
"
      “And above all, watch with glittering eyes the whole world around you because the greatest secrets are always hidden in the most unlikely places. Those who don't believe in magic will never find it.”
  ","
    Roald Dahl
  ","believe,glittering-eyes,hidden,magic,secrets,unlikely-places,watch,world"
"
      “With great power... comes great need to take a nap. Wake me up later.”
  ","
    Rick Riordan,
  ",nico
"
      “The Road Not Taken","
    Robert Frost
  ","choice,poetry"
"
      “If we find ourselves with a desire that nothing in this world can satisfy, the most probable explanation is that we were made for another world.”
  ","
    C.S. Lewis
  ","god,world"
"
      “Everyone thinks of changing the world, but no one thinks of changing himself.”
  ","
    Leo Tolstoy
  ","change,tolstoy"
"
      “There's nothing like deep breaths after laughing that hard. Nothing in the world like a sore stomach for the right reasons.”
  ","
    Stephen Chbosky,
  ",happiness
"
      “If you don't know where you're going, any road'll take you there”
  ","
    George Harrison
  ","life,paraphrase-of-lewis-carroll"
"
      “I am not pretty. I am not beautiful. I am as radiant as the sun.”
  ","
    Suzanne Collins,
  ",truth
"
      “When I despair, I remember that all through history the way of truth and love have always won. There have been tyrants and murderers, and for a time, they can seem invincible, but in the end, they always fall. Think of it--always.”
  ","
    Mahatma Gandhi
  ","despair,evil,goodness,inspirational,love,sadness,truth,victory"
"
      “I don't know half of you half as well as I should like; and I like less than half of you half as well as you deserve.”
  ","
    J.R.R. Tolkien,
  ","family,friends,parties,social"
"
      “You can love someone so much...But you can never love people as much as you can miss them.”
  ","
    John Green
  ","breaking-up,lost-love"
"
      “So we beat on, boats against the current, borne back ceaselessly into the past.”
  ","
    F. Scott Fitzgerald,
  ","book,inspirational"
